,subject,rule_description,rule_followed,rule_x,rule_identify,rule_y,worry,open_feedback_sess3
89,m72afjrfmn9ycnm,{'Q0': 'Some super flowers had dangerous petals and would bite and a scream was more likely to occur with some flowers than others depending on the shape'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
90,rxol1dxl6nen4em,{'Q0': 'the more balanced in spikeyness and the more likely the scream was likely to occur'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'n/a'}
91,4g3g9s2nj7eh7g9,"{'Q0': ""They seemed to be the same on all planets in part 3, I thought of that shape more as a star than a flower, it wasn't fat or too skinny so it was easier to rule those out and I haven't played Super Mario in a long time but I kept thinking of the yellow Star powerups from that game for some reason.""}",{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'No I said it in the previous answers that in part 3 I thought of it more as a star than a flower and that pink stood out more again probably because of the contrast. I felt like you could see the length and size differences more when it was pink.'}
92,6wyn194o3vd7jmv,"{'Q0': 'The shape of the screaming flower was always the same, regardless of the colour (planet).'}",{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},"{'Q0': ""I noticed that during the screaming feedback trials, there was 12 (x2) feedback per planet, so I counted the number of times it screamed to calculate the percentage. The colour differences didn't mean anything to me, I always looked at the shape of the flower only.""}"
93,oeu4jokoabrwtua,{'Q0': 'The spikier the petals the more likely they were to scream'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'na'}
94,lq01y2l4zvsfb6u,"{'Q0': 'It seemed the longer the petals, the more likely it was to scream.'}",{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
95,y71fvh7ol8vycb2,{'Q0': 'In my mind the sharper the edges were the more likely it was for it to scream.'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': '-'}
96,sh3z56uk3q0ddzd,{'Q0': 'When the petals were normal in size the scream would occur more often. In all planets the size of the flower regarding to its spikes and petal size was mostly the same when the flower would scream.'},{'Rule': 'No'},mix,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},mix,{'Rule': 'No'},"{'Q0': 'In all planets I was presented with the same shaped flower that would scream. In some planets there were more probabilities that it would scream and in other cases the flower would not scream so frequently. However, the shape was mostly the same.'}"
97,zqr31esvemh6qkz,"{'Q0': 'if the flower had a shape that was very different from the sample one, then I would give it an occurrence opposite to the sampled one'}",{'Rule': 'Yes'},mix,{'Identify': 'It is equally likely for all the space flowers above to scream at you.'},mix,{'Rule': 'No'},{'Q0': ''}
98,wf4mq2s0e98ce4z,"{'Q0': 'I think the spikier the flowers was, the more it screamed'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'everything worked correctly'}
99,au7m9jjmgy8d4gj,{'Q0': 'the flower was the best looking. it had the best proportions. that was my association with the scream.'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': '/'}
100,ajztaxb5eyxtfch,{'Q0': 'The thinner the more they screamed i guess'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
101,2qu63bjtm9kxnnb,{'Q0': 'Some shape of flower did scream or bite at you.  It was important to identify the ones that can scream as they were poisonous. Each flower in each planet were. different and they cant mix and most of them are mostly dangerous.'},{'Rule': 'Yes'},gauss,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'Nice thought provoking experiment'}
102,pojfe0tpsdoned2,{'Q0': 'I think if the flower is pointier it screams more often'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
103,7bwng7h1w9q6djl,{'Q0': 'the more spikey the flower was the bigger possibility of scream'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': ''}
104,ssbsk72ruz2tdg1,{'Q0': 'I think there was a specific thickness of the flower petals that made the scream appear'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'Good luck with your research :) '}
105,4ns4fa2xqw95lgx,{'Q0': 'the more exergerated the shape of the flower the more i associated it with the possiibilty of screaming.'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'no i have nothing for now'}
106,le6z045m543xskj,{'Q0': 'Flowers with a specific shape and six rounded petals with points at the ends were more likely to scream.'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},"{'Q0': 'It was a very interesting study, thank you.'}"
107,s79rv87vd0ov68q,"{'Q0': 'The flowers which screamed and were dangerous on the different planets were the most ""normal"" ones. Not the super thin ones and not the super thick ones. Just the averageones'}",{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'I felt like the task was much more difficult on the orange planet'}
108,lqk83qqxe3xs6ss,{'Q0': 'i think that some flowers with sharp edges were screaming'},{'Rule': 'No'},mix,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},mix,"{'Rule': 'Yes, the very spikey one'}","{'Q0': ""i think that i missclicked on the 4 on one attention check and it was 3 the clicks that i heard, but there wasn't any oppurtunity to change it""}"
109,je7gumyhw5zyax5,{'Q0': 'I believe the longer and sharper the petals the more inclined to scream they are.'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'Thank you for the opportunity to take part!'}
110,34aswcgc3uv5ln0,{'Q0': 'Im not sure'},{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': ''}
111,1qs0vvu9krr584a,{'Q0': 'For certain flowers the size of their petals determined whether the flower was dangerous or not. '},{'Rule': 'Yes'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'no comment'}
112,x31a150jh7x0sc3,"{'Q0': 'The more the petals of the flower were spiky, the flowers is likely to scream or be more dangerous.'}",{'Rule': 'No'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}","{'Q0': 'I enjoyed the task , thank you '}"
113,mghqo7uxufw84xb,{'Q0': 'I believe the more star looking it was the more it screamed.'},{'Rule': 'No'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,{'Rule': 'No'},{'Q0': ''}
114,u556z6wn629kwu5,"{'Q0': 'the bigger and thicker the flower and petals, the more likely it will scream at you'}",{'Rule': 'No'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,{'Rule': 'No'},{'Q0': 'this was a very interesting study'}
115,35q8u5ekgfaq26g,{'Q0': 'the shapes of the screaming flowers and not screaming flowers are the same'},{'Rule': 'No'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'none'}
116,gstz99vr89krpfz,{'Q0': 'The middle sized flowers with the medium sized points seemed to scream a medium amount depending on the colour.'},{'Rule': 'No'},,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
117,hmfoy1dyl3p0oyx,{'Q0': 'the flowers with wider petals tends to scream than the ones with short petals '},{'Rule': 'Yes'},,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'no'}
118,5cp1qjka53bl73q,"{'Q0': 'There was no relationship between the shape of the flowers and the occurence of the screams, The flowers looked the same to me on all planets. The only difference in the occurence of the screams was that they were more on some planets and less on other planets. So the shape of the flowers had no impact on the when the screams happened.'}",{'Rule': 'No'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,{'Rule': 'No'},{'Q0': 'Not really. Just jumped whenever a flower screamed especially when the screams where not with every occurence. Waiting for it to happen was a funny experience. I found myself chuckling when a scream managed to jolt me.'}
119,4tcxev3874jk89a,{'Q0': 'I noticed that the more fuller flower were more likely to scream'},{'Rule': 'Yes'},,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},,{'Rule': 'No'},{'Q0': 'None'}
120,cavjhtxfs1z091j,"{'Q0': 'a flower of a specific shape had a certain probability of screaming, which varied from planet to planet'}",{'Rule': 'No'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,{'Rule': 'No'},"{'Q0': 'no, all good'}"
121,ktwcurcgfv59jnc,{'Q0': 'Flowers with big petals screams and the occurrence comes after every second appearance. I personally think that flowers with big petals are moody and the scream more than the once with small petals. '},{'Rule': 'Yes'},,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}","{'Q0': 'Study was challenging it needed focus, and it has trained me to be steady and focus on it and read the instructions carefully.'}"
122,9p57f5mpldrqae2,{'Q0': 'the less spikey/more spikey - more or less scream you get'},{'Rule': 'Yes'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,{'Rule': 'No'},{'Q0': ''}
123,22260uys7arz8j6,{'Q0': 'I thought the pointier the petal the more likely to scream.'},{'Rule': 'Yes'},,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'No'}
124,70kcrqfjf2xhh4m,{'Q0': 'No'},{'Rule': 'No'},,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very round one'}",{'Q0': 'No'}
125,h9du65sl07e0gv9,"{'Q0': 'the shape was the same for all colours, the scream would indicate that the super space flower would scream at you. I noticed it would scream after three  times shown'}",{'Rule': 'Yes'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'I enjoyed the experiment'}
126,as5hvtlqa9ouc2z,"{'Q0': 'the sharper the shape of the flower, the more likely occurance of a scream '}",{'Rule': 'Yes'},,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
127,fwexbmobod79xhj,"{'Q0': 'The shape of the petals determines the ocurrence of the scream, but the relationship were different in different planets'}",{'Rule': 'Yes'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,{'Rule': 'No'},{'Q0': 'No'}
128,l7kobq2fs7s15go,"{'Q0': 'I guessed that the bigger the spikes were, the greater chance that there would be a scream.'}",{'Rule': 'Yes'},,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
129,wey1upork0e0epr,"{'Q0': 'Possibly, the more pointy the flower, the more it screamed. Though not too sure, it could be unrelated.'}",{'Rule': 'Yes'},,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},,{'Rule': 'No'},{'Q0': ''}
130,85aq8xl8ayntz3l,{'Q0': 'no idea'},{'Rule': 'Yes'},,{'Identify': 'It is equally likely for all the space flowers above to scream at you.'},,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'no'}
